sale_id,customer_id,quantity,promotion,loyalty_points
1,66,5,True,70
2,26,3,False,30
3,26,4,True,60
4,13,1,False,10
5,58,4,False,40
6,3,2,False,20
7,6,2,False,20
8,29,2,True,40
9,8,1,True,30
10,95,1,True,30
11,27,5,True,70
12,3,3,False,30
13,17,3,False,30
14,17,2,False,20
15,73,1,True,30
16,98,5,True,70
17,49,3,False,30
18,95,4,True,60
19,32,2,True,40
20,28,1,True,30
21,46,4,False,40
22,12,1,True,30
23,44,1,True,30
24,9,5,True,70
25,10,1,False,10
26,38,3,True,50
27,42,3,True,50
28,51,2,True,40
29,10,4,False,40
30,18,1,True,30
31,4,1,True,30
32,56,3,True,50
33,81,3,True,50
34,60,5,False,50
35,68,4,True,60
36,41,3,False,30
37,74,4,True,60
38,47,3,True,50
39,64,5,False,50
40,28,2,True,40
41,47,1,False,10
42,18,4,False,40
43,34,4,True,60
44,2,2,True,40
45,95,4,True,60
46,22,5,True,70
47,13,1,True,30
48,52,2,False,20
49,66,5,False,50
50,95,4,True,60
51,23,1,True,30
52,87,5,True,70
53,88,5,False,50
54,15,1,False,10
55,70,5,True,70
56,35,4,True,60
57,48,3,False,30
58,46,5,False,50
59,85,4,False,40
60,1,5,True,70
61,55,4,True,60
62,95,2,False,20
63,25,3,False,30
64,5,2,False,20
65,45,4,True,60
66,18,1,False,10
67,36,5,False,50
68,19,1,False,10
69,52,2,False,20
70,79,1,False,10
71,71,1,False,10
72,60,3,False,30
73,47,5,True,70
74,41,3,True,50
75,56,1,True,30
76,24,2,False,20
77,2,2,False,20
78,91,3,False,30
79,69,4,False,40
80,68,3,False,30
81,77,4,False,40
82,6,3,True,50
83,10,4,False,40
84,72,4,False,40
85,89,3,False,30
86,30,1,False,10
87,64,3,False,30
88,51,5,False,50
89,66,3,True,50
90,48,2,True,40
91,19,1,False,10
92,66,2,True,40
93,3,3,False,30
94,52,5,True,70
95,5,3,False,30
96,99,1,True,30
97,49,1,True,30
98,76,4,False,40
99,7,2,False,20
100,65,2,False,20
101,16,4,False,40
102,43,2,True,40
103,13,3,True,50
104,26,4,True,60
105,42,1,False,10
106,3,5,True,70
107,69,3,True,50
108,72,4,True,60
109,2,3,False,30
110,75,1,True,30
111,93,1,True,30
112,12,4,True,60
113,76,4,True,60
114,18,3,True,50
115,87,1,True,30
116,58,4,True,60
117,53,1,False,10
118,90,5,False,50
119,99,4,True,60
120,36,2,True,40
121,92,5,True,70
122,36,3,False,30
123,76,5,False,50
124,85,5,True,70
125,78,4,False,40
126,55,5,False,50
127,77,4,True,60
128,60,4,True,60
129,86,1,False,10
130,46,4,False,40
131,18,3,False,30
132,71,3,True,50
133,98,4,False,40
134,31,5,True,70
135,88,5,False,50
136,33,5,False,50
137,7,4,False,40
138,58,3,True,50
139,12,2,False,20
140,51,5,False,50
141,3,4,True,60
142,10,2,True,40
143,98,1,False,10
144,10,2,False,20
145,47,1,True,30
146,82,5,True,70
147,66,4,False,40
148,83,2,False,20
149,79,4,False,40
150,11,1,True,30
151,60,4,False,40
152,43,1,True,30
153,99,1,True,30
154,9,4,True,60
155,8,3,True,50
156,71,1,True,30
157,40,3,True,50
158,25,5,True,70
159,55,5,False,50
160,80,2,True,40
161,57,4,False,40
162,24,3,False,30
163,85,5,False,50
164,77,4,False,40
165,99,3,False,30
166,16,5,False,50
167,16,4,True,60
168,83,2,True,40
169,39,4,False,40
170,25,1,False,10
171,40,4,True,60
172,60,3,True,50
173,42,5,False,50
174,14,1,True,30
175,16,5,False,50
176,71,3,True,50
177,34,5,False,50
178,72,3,False,30
179,51,2,True,40
180,24,4,True,60
181,88,2,True,40
182,21,2,False,20
183,31,5,False,50
184,88,3,False,30
185,21,3,False,30
186,81,2,False,20
187,40,2,True,40
188,4,5,False,50
189,68,1,False,10
190,82,4,False,40
191,94,1,False,10
192,39,4,False,40
193,78,1,True,30
194,14,4,True,60
195,79,2,True,40
196,31,1,False,10
197,30,2,False,20
198,66,4,False,40
199,54,5,False,50
200,93,2,True,40
201,59,2,False,20
202,59,4,True,60
203,39,4,False,40
204,81,5,False,50
205,78,4,True,60
206,5,3,True,50
207,76,2,True,40
208,57,4,False,40
209,90,4,True,60
210,5,1,True,30
211,33,2,False,20
212,85,1,True,30
213,92,5,True,70
214,36,5,False,50
215,38,4,True,60
216,29,1,True,30
217,62,1,True,30
218,7,5,False,50
219,8,5,True,70
220,68,1,True,30
221,66,2,True,40
222,80,4,False,40
223,89,5,False,50
224,3,1,True,30
225,73,4,True,60
226,71,4,False,40
227,29,2,True,40
228,54,4,True,60
229,32,4,True,60
230,60,3,True,50
231,69,4,False,40
232,86,2,True,40
233,55,5,True,70
234,75,1,True,30
235,69,4,True,60
236,27,5,True,70
237,97,3,True,50
238,92,1,False,10
239,68,2,True,40
240,96,5,False,50
241,67,3,False,30
242,99,1,True,30
243,64,5,True,70
244,44,4,False,40
245,81,1,True,30
246,100,4,True,60
247,55,2,False,20
248,58,1,False,10
249,56,2,True,40
250,59,2,True,40
251,46,1,False,10
252,69,5,False,50
253,96,1,False,10
254,8,2,False,20
255,51,5,False,50
256,89,4,True,60
257,59,4,True,60
258,57,3,True,50
259,69,3,True,50
260,71,3,True,50
261,8,5,True,70
262,91,3,False,30
263,40,1,False,10
264,86,3,True,50
265,21,4,False,40
266,73,4,True,60
267,43,5,False,50
268,99,4,False,40
269,12,5,True,70
270,75,1,True,30
271,41,3,False,30
272,43,2,False,20
273,46,3,True,50
274,64,1,True,30
275,54,2,True,40
276,66,4,True,60
277,51,3,False,30
278,4,2,False,20
279,65,5,True,70
280,30,5,True,70
281,50,2,True,40
282,81,4,True,60
283,75,4,True,60
284,46,2,False,20
285,38,3,False,30
286,53,5,True,70
287,49,2,False,20
288,76,5,False,50
289,12,5,False,50
290,75,5,False,50
291,89,1,True,30
292,2,4,False,40
293,29,5,True,70
294,37,2,True,40
295,79,4,False,40
296,98,2,True,40
297,75,1,False,10
298,81,5,False,50
299,21,5,True,70
300,90,3,True,50
301,48,5,False,50
302,83,1,True,30
303,42,1,True,30
304,58,5,False,50
305,60,2,False,20
306,84,3,True,50
307,12,5,True,70
308,8,5,False,50
309,95,5,False,50
