sale_id,customer_id,quantity,promotion
1,66,5,True
2,26,3,False
3,26,4,True
4,13,1,False
5,58,4,False
6,3,2,False
7,6,2,False
8,29,2,True
9,8,1,True
10,95,1,True
11,27,5,True
12,3,3,False
13,17,3,False
14,17,2,False
15,73,1,True
16,98,5,True
17,49,3,False
18,95,4,True
19,32,2,True
20,28,1,True
21,46,4,False
22,12,1,True
23,44,1,True
24,9,5,True
25,10,1,False
26,38,3,True
27,42,3,True
28,51,2,True
29,10,4,False
30,18,1,True
31,4,1,True
32,56,3,True
33,81,3,True
34,60,5,False
35,68,4,True
36,41,3,False
37,74,4,True
38,47,3,True
39,64,5,False
40,28,2,True
41,47,1,False
42,18,4,False
43,34,4,True
44,2,2,True
45,95,4,True
46,22,5,True
47,13,1,True
48,52,2,False
49,66,5,False
50,95,4,True
51,23,1,True
52,87,5,True
53,88,5,False
54,15,1,False
55,70,5,True
56,35,4,True
57,48,3,False
58,46,5,False
59,85,4,False
60,1,5,True
61,55,4,True
62,95,2,False
63,25,3,False
64,5,2,False
65,45,4,True
66,18,1,False
67,36,5,False
68,19,1,False
69,52,2,False
70,79,1,False
71,71,1,False
72,60,3,False
73,47,5,True
74,41,3,True
75,56,1,True
76,24,2,False
77,2,2,False
78,91,3,False
79,69,4,False
80,68,3,False
81,77,4,False
82,6,3,True
83,10,4,False
84,72,4,False
85,89,3,False
86,30,1,False
87,64,3,False
88,51,5,False
89,66,3,True
90,48,2,True
91,19,1,False
92,66,2,True
93,3,3,False
94,52,5,True
95,5,3,False
96,99,1,True
97,49,1,True
98,76,4,False
99,7,2,False
100,65,2,False
101,16,4,False
102,43,2,True
103,13,3,True
104,26,4,True
105,42,1,False
106,3,5,True
107,69,3,True
108,72,4,True
109,2,3,False
110,75,1,True
111,93,1,True
112,12,4,True
113,76,4,True
114,18,3,True
115,87,1,True
116,58,4,True
117,53,1,False
118,90,5,False
119,99,4,True
120,36,2,True
121,92,5,True
122,36,3,False
123,76,5,False
124,85,5,True
125,78,4,False
126,55,5,False
127,77,4,True
128,60,4,True
129,86,1,False
130,46,4,False
131,18,3,False
132,71,3,True
133,98,4,False
134,31,5,True
135,88,5,False
136,33,5,False
137,7,4,False
138,58,3,True
139,12,2,False
140,51,5,False
141,3,4,True
142,10,2,True
143,98,1,False
144,10,2,False
145,47,1,True
146,82,5,True
147,66,4,False
148,83,2,False
149,79,4,False
150,11,1,True
151,60,4,False
152,43,1,True
153,99,1,True
154,9,4,True
155,8,3,True
156,71,1,True
157,40,3,True
158,25,5,True
159,55,5,False
160,80,2,True
161,57,4,False
162,24,3,False
163,85,5,False
164,77,4,False
165,99,3,False
166,16,5,False
167,16,4,True
168,83,2,True
169,39,4,False
170,25,1,False
171,40,4,True
172,60,3,True
173,42,5,False
174,14,1,True
175,16,5,False
176,71,3,True
177,34,5,False
178,72,3,False
179,51,2,True
180,24,4,True
181,88,2,True
182,21,2,False
183,31,5,False
184,88,3,False
185,21,3,False
186,81,2,False
187,40,2,True
188,4,5,False
189,68,1,False
190,82,4,False
191,94,1,False
192,39,4,False
193,78,1,True
194,14,4,True
195,79,2,True
196,31,1,False
197,30,2,False
198,66,4,False
199,54,5,False
200,93,2,True
201,59,2,False
202,59,4,True
203,39,4,False
204,81,5,False
205,78,4,True
206,5,3,True
207,76,2,True
208,57,4,False
209,90,4,True
210,5,1,True
211,33,2,False
212,85,1,True
213,92,5,True
214,36,5,False
215,38,4,True
216,29,1,True
217,62,1,True
218,7,5,False
219,8,5,True
220,68,1,True
221,66,2,True
222,80,4,False
223,89,5,False
224,3,1,True
225,73,4,True
226,71,4,False
227,29,2,True
228,54,4,True
229,32,4,True
230,60,3,True
231,69,4,False
232,86,2,True
233,55,5,True
234,75,1,True
235,69,4,True
236,27,5,True
237,97,3,True
238,92,1,False
239,68,2,True
240,96,5,False
241,67,3,False
242,99,1,True
243,64,5,True
244,44,4,False
245,81,1,True
246,100,4,True
247,55,2,False
248,58,1,False
249,56,2,True
250,59,2,True
251,46,1,False
252,69,5,False
253,96,1,False
254,8,2,False
255,51,5,False
256,89,4,True
257,59,4,True
258,57,3,True
259,69,3,True
260,71,3,True
261,8,5,True
262,91,3,False
263,40,1,False
264,86,3,True
265,21,4,False
266,73,4,True
267,43,5,False
268,99,4,False
269,12,5,True
270,75,1,True
271,41,3,False
272,43,2,False
273,46,3,True
274,64,1,True
275,54,2,True
276,66,4,True
277,51,3,False
278,4,2,False
279,65,5,True
280,30,5,True
281,50,2,True
282,81,4,True
283,75,4,True
284,46,2,False
285,38,3,False
286,53,5,True
287,49,2,False
288,76,5,False
289,12,5,False
290,75,5,False
291,89,1,True
292,2,4,False
293,29,5,True
294,37,2,True
295,79,4,False
296,98,2,True
297,75,1,False
298,81,5,False
299,21,5,True
300,90,3,True
301,48,5,False
302,83,1,True
303,42,1,True
304,58,5,False
305,60,2,False
306,84,3,True
307,12,5,True
308,8,5,False
309,95,5,False
310,66,2,False
311,14,2,False
312,78,5,True
313,92,5,False
314,41,2,True
315,31,5,True
316,5,3,False
317,23,1,True
318,54,1,False
319,20,1,False
320,15,1,True
321,22,2,False
322,69,2,True
323,64,5,True
324,95,4,False
325,20,4,True
326,81,5,True
327,16,4,True
328,55,1,True
329,98,4,False
330,34,4,True
331,57,4,True
332,94,4,False
333,28,5,True
334,74,5,True
335,19,1,False
336,67,2,True
337,55,2,False
338,58,1,False
339,44,4,False
340,53,2,False
341,65,5,False
342,30,1,False
343,58,1,False
344,37,1,True
345,98,4,False
346,89,5,False
347,33,1,True
348,90,1,True
349,50,4,False
350,19,4,True
351,70,2,True
352,82,2,True
353,86,2,True
354,13,2,True
355,100,2,True
356,17,2,False
357,71,5,True
358,20,3,False
359,85,3,True
360,69,5,True
361,6,3,False
362,25,2,True
363,14,1,True
364,65,1,True
